Experiment: Core solvers					
Instance	time	Modularity	Variables	Clauses	Communities
003.cnf	5000.03				
005.cnf	5000.22				
005.cnf	5000.06				
005.cnf	3185.52				
9vliw_m_9stages_iq3_C1_bug10.cnf	118.625				
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.030-NOTKNOWN.cnf	725.375				
grid-strips-grid-y-3.055-NOTKNOWN.cnf	585.598				
transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.030-NOTKNOWN.cnf	2061.07				
006.cnf	1388.99				
blocks-blocks-36-0.130-NOTKNOWN.cnf	541.657				
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.020-NOTKNOWN.cnf	172.8				
006.cnf	1777.49				
blocks-blocks-36-0.150-NOTKNOWN.cnf	281.482				
007.cnf	3175.97				
grid-strips-grid-y-3.065-SAT.cnf	1194.68				
transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf	2179.68				
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.050-NOTKNOWN.cnf	2131.06				
transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.020-NOTKNOWN.cnf	2796.17				
007.cnf	5000.12				
007.cnf	5000.05				
grid-strips-grid-y-3.045-NOTKNOWN.cnf	2006.36				
008.cnf	4496.69				
transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN.cnf	2767.72				
6s137.cnf	3021.73				
gss-18-s100.cnf	545.434				
008.cnf	5000.07				
009.cnf	4831.7				
6s166.cnf	5000.09				
008.cnf	5000.08				
ACG-20-5p0.cnf	842.113				
009.cnf	5000.04				
009.cnf	1672.23				
hitag2-10-60-0-0xac23f1205f76343-96.cnf	4832.61				
maxor064.cnf	5000.1				
md5_48_5.cnf	159.273				
bivium-39-200-0s0-0x163b785faa4bfb1b3b894a9206768a6c3d5d6f038b3797c4c2-99.cnf	3823.63				
010.cnf	3290.87				
ACG-15-10p0.cnf	1560.64				
gus-md5-11.cnf	2646.52				
bob12m04.cnf	134.171				
bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63.cnf	1605.91				
ndhf_xits_21_SAT.cnf	1808.19				
bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34.cnf	1962.17				
AProVE07-02.cnf	143.573				
6s165.cnf	5000.07				
itox_vc1033.cnf	3.42848				
6s153.cnf	5000.08				
itox_vc1130.cnf	4.56731				
slp-synthesis-aes-top27.cnf	518.514				
9vliw_m_9stages_iq3_C1_bug8.cnf	109.564				
9vliw_m_9stages_iq3_C1_bug9.cnf	95.7954				
6s9.cnf	5000.08				
6s126.cnf	5000.12				
9vliw_m_9stages_iq3_C1_bug7.cnf	111.423				
6s133.cnf	5000.12				
9vliw_m_9stages_iq3_C1_bug4.cnf	109.372				
9vliw_m_9stages_iq3_C1_bug1.cnf	114.722				
9dlx_vliw_at_b_iq4.cnf	2186.6				
total-10-15-s.cnf	5000.11				
partial-5-15-s.cnf	5000.37				
partial-5-13-s.cnf	1410.91				
partial-10-11-s.cnf	5000.14				
6s139.cnf	5000.15				
partial-5-17-s.cnf	5000.38				
partial-10-19-s.cnf	5000.3				
partial-5-19-s.cnf	5000.28				
vmpc_30.cnf	2991.69				
beempgsol5b1.cnf	5000.03				
ctl_4291_567_10_unsat.cnf	801.391				
vmpc_29.cnf	1848.94				
vmpc_33.cnf	1705.67				
pb_400_02_lb_15.cnf	5000.1				
SAT_dat.k85.cnf	5000.22				
SAT_dat.k100.cnf	5000.21				
aaai10-planning-ipc5-pipesworld-12-step15.cnf	848.866				
gss-17-s100.cnf	45.909				
gss-24-s100.cnf	5000.11				
gss-23-s100.cnf	5000.05				
bivium-40-200-0s0-0x66b619d7b8e447710bf43b794ded6cfaf1e75bb8a947e14c78-50.cnf	1108.51				
pb_400_10_lb_00.cnf	5000.22				
UR-20-5p1.cnf	3286.4				
UTI-20-5p1.cnf	5000.25				
gss-25-s100.cnf	5000.02				
UTI-15-10p1.cnf	657.357				
UR-20-5p0.cnf	1832.35				
UR-15-10p0.cnf	1035.57				
ctl_4291_567_2_unsat_pre.cnf	1728.03				
b04_s_unknown.cnf	3064.45				
UR-20-10p1.cnf	5000.22				
ctl_4291_567_9_unsat.cnf	824.91				
ctl_4291_567_7_unsat.cnf	1081.78				
ctl_4291_567_9_unsat_pre.cnf	647.97				
ctl_4291_567_12_unsat_pre.cnf	821.946				
k_unsat.cnf	5000.07				
ctl_4201_555_unsat.cnf	1410.54				
ctl_4201_555_unsat_pre.cnf	1686.98				
b04_s_unknown_pre.cnf	3429.68				
bivium-40-200-0s0-0xd447c33176b6b675fd5f8dc3a5deda46569dc34eedf37da020-6.cnf	1162.19				
ctl_3082_415_unsat.cnf	1051.9				
ctl_4291_567_7_unsat_pre.cnf	850.786				
b_unsat.cnf	962.501				
b04_s_2_unknown_pre.cnf	5000.14				
velev-pipe-sat-1.0-b7.cnf	3592.05				
ctl_4291_567_1_unsat.cnf	2126.61				
pb_400_04_lb_19.cnf	5000.35				
bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf	672.963				
hitag2-10-60-0-0xdf7fa6426edec07-17.cnf	1516.21				
ctl_4291_567_1_unsat_pre.cnf	2228.03				
ctl_4291_567_6_unsat.cnf	5000.04				
minandmaxor128.cnf	5000.15				
ctl_3082_415_unsat_pre.cnf	1211.02				
ctl_4291_567_12_unsat.cnf	637.891				
b_unsat_pre.cnf	627.519				
ctl_4291_567_10_unsat_pre.cnf	1067.85				
ctl_4291_567_6_unsat_pre.cnf	5000.12				
ctl_4291_567_2_unsat.cnf	1698.07				
ctl_4291_567_8_unsat_pre.cnf	5000.09				
ctl_4291_567_8_unsat.cnf	5000.1				
ctl_4291_567_5_unsat.cnf	5000.09				
aaai10-planning-ipc5-pathways-17-step20.cnf	827.229				
ctl_3791_556_unsat.cnf	5000.06				
ctl_4291_567_11_unsat.cnf	5000.03				
aaai10-planning-ipc5-pathways-17-step21.cnf	752.8				
aaai10-planning-ipc5-TPP-21-step11.cnf	5000.09				
aaai10-planning-ipc5-pathways-13-step17.cnf	851.981				
aaai10-planning-ipc5-TPP-30-step11.cnf	242.316				
aes_32_3_keyfind_2.cnf	1070.77				
smtlib-qfbv-aigs-servers_slapd_a_vc149789-tseitin.cnf	1.9527				
